	profile_A
n	x	y	luma
3.140000E2	9.854176E0	-2.831318E-3	5.387471E0
3.150000E2	9.848968E0	-2.831318E-3	5.171755E0
3.160000E2	9.843761E0	-2.831318E-3	4.339155E0
3.170000E2	9.838553E0	-2.831318E-3	4.696183E0
3.180000E2	9.833346E0	-2.831318E-3	4.544808E0
3.190000E2	9.828138E0	-2.831318E-3	4.100216E0
3.200000E2	9.822931E0	-2.831318E-3	4.978643E0
3.210000E2	9.817723E0	-2.831318E-3	6.003791E0
3.220000E2	9.812516E0	-2.831318E-3	6.006309E0
3.230000E2	9.807308E0	-2.831318E-3	5.868876E0
3.240000E2	9.802101E0	-2.831318E-3	4.896828E0
3.250000E2	9.796893E0	-2.831318E-3	5.880882E0
3.260000E2	9.791686E0	-2.831318E-3	5.864676E0
3.270000E2	9.786478E0	-2.831318E-3	5.240112E0
3.280000E2	9.781270E0	-2.831318E-3	4.893629E0
3.290000E2	9.776063E0	-2.831318E-3	4.590620E0
3.300000E2	9.770855E0	-2.831318E-3	4.292671E0
3.310000E2	9.765648E0	-2.831318E-3	5.039510E0
3.320000E2	9.760440E0	-2.831318E-3	5.558543E0
3.330000E2	9.755233E0	-2.831318E-3	5.447341E0
3.340000E2	9.750025E0	-2.831318E-3	4.577705E0
3.350000E2	9.744818E0	-2.831318E-3	4.300781E0
3.360000E2	9.739610E0	-2.831318E-3	4.659302E0
3.370000E2	9.734403E0	-2.831318E-3	5.016688E0
3.380000E2	9.729195E0	-2.831318E-3	4.990582E0
3.390000E2	9.723988E0	-2.831318E-3	5.286781E0
3.400000E2	9.718780E0	-2.831318E-3	4.236388E0
3.410000E2	9.713573E0	-2.831318E-3	3.577891E0
3.420000E2	9.708365E0	-2.831318E-3	5.334871E0
3.430000E2	9.703157E0	-2.831318E-3	5.922672E0
3.440000E2	9.697950E0	-2.831318E-3	5.660860E0
3.450000E2	9.692742E0	-2.831318E-3	5.566895E0
3.460000E2	9.687535E0	-2.831318E-3	6.017818E0
3.470000E2	9.682327E0	-2.831318E-3	5.592654E0
3.480000E2	9.677120E0	-2.831318E-3	4.696719E0
3.490000E2	9.671912E0	-2.831318E-3	6.455842E0
3.500000E2	9.666705E0	-2.831318E-3	7.091774E0
3.510000E2	9.661497E0	-2.831318E-3	6.469703E0
3.520000E2	9.656290E0	-2.831318E-3	6.496045E0
3.530000E2	9.651082E0	-2.831318E-3	6.103879E0
3.540000E2	9.645875E0	-2.831318E-3	6.016049E0
3.550000E2	9.640667E0	-2.831318E-3	5.059982E0
3.560000E2	9.635460E0	-2.831318E-3	4.993731E0
3.570000E2	9.630252E0	-2.831318E-3	5.353785E0
3.580000E2	9.625044E0	-2.831318E-3	5.324295E0
3.590000E2	9.619837E0	-2.831318E-3	5.624446E0
3.600000E2	9.614629E0	-2.831318E-3	4.197099E0
3.610000E2	9.609422E0	-2.831318E-3	4.959939E0
3.620000E2	9.604214E0	-2.831318E-3	5.399103E0
3.630000E2	9.599007E0	-2.831318E-3	5.647579E0
3.640000E2	9.593799E0	-2.831318E-3	5.658041E0
3.650000E2	9.588592E0	-2.831318E-3	6.383788E0
3.660000E2	9.583384E0	-2.831318E-3	5.226755E0
3.670000E2	9.578177E0	-2.831318E-3	4.116658E0
3.680000E2	9.572969E0	-2.831318E-3	4.972356E0
3.690000E2	9.567762E0	-2.831318E-3	5.570983E0
3.700000E2	9.562554E0	-2.831318E-3	5.718222E0
3.710000E2	9.557347E0	-2.831318E-3	5.203838E0
3.720000E2	9.552139E0	-2.831318E-3	5.835393E0
3.730000E2	9.546932E0	-2.831318E-3	5.953505E0
3.740000E2	9.541724E0	-2.831318E-3	6.834779E0
3.750000E2	9.536516E0	-2.831318E-3	6.563947E0
3.760000E2	9.531309E0	-2.831318E-3	5.242925E0
3.770000E2	9.526101E0	-2.831318E-3	5.490286E0
3.780000E2	9.520894E0	-2.831318E-3	5.931185E0
3.790000E2	9.515686E0	-2.831318E-3	5.682183E0
3.800000E2	9.510479E0	-2.831318E-3	4.965788E0
3.810000E2	9.505271E0	-2.831318E-3	6.260626E0
3.820000E2	9.500064E0	-2.831318E-3	5.651720E0
3.830000E2	9.494856E0	-2.831318E-3	5.251568E0
3.840000E2	9.489649E0	-2.831318E-3	5.800984E0
3.850000E2	9.484441E0	-2.831318E-3	6.033052E0
3.860000E2	9.479234E0	-2.831318E-3	6.102614E0
3.870000E2	9.474026E0	-2.831318E-3	4.971067E0
3.880000E2	9.468819E0	-2.831318E-3	5.593377E0
3.890000E2	9.463611E0	-2.831318E-3	5.678750E0
3.900000E2	9.458403E0	-2.831318E-3	5.970699E0
3.910000E2	9.453196E0	-2.831318E-3	6.468037E0
3.920000E2	9.447988E0	-2.831318E-3	7.115381E0
3.930000E2	9.442781E0	-2.831318E-3	7.326070E0
3.940000E2	9.437573E0	-2.831318E-3	6.616327E0
3.950000E2	9.432366E0	-2.831318E-3	5.602698E0
3.960000E2	9.427158E0	-2.831318E-3	4.468984E0
3.970000E2	9.421951E0	-2.831318E-3	5.507423E0
3.980000E2	9.416743E0	-2.831318E-3	5.960463E0
3.990000E2	9.411536E0	-2.831318E-3	6.899035E0
4.000000E2	9.406328E0	-2.831318E-3	6.812399E0
4.010000E2	9.401121E0	-2.831318E-3	5.431173E0
4.020000E2	9.395913E0	-2.831318E-3	4.703850E0
4.030000E2	9.390706E0	-2.831318E-3	6.155165E0
4.040000E2	9.385498E0	-2.831318E-3	6.922268E0
4.050000E2	9.380290E0	-2.831318E-3	6.355316E0
4.060000E2	9.375083E0	-2.831318E-3	5.124806E0
4.070000E2	9.369875E0	-2.831318E-3	5.044000E0
4.080000E2	9.364668E0	-2.831318E-3	5.325649E0
4.090000E2	9.359460E0	-2.831318E-3	6.107835E0
4.100000E2	9.354253E0	-2.831318E-3	6.970560E0
4.110000E2	9.349045E0	-2.831318E-3	6.935528E0
4.120000E2	9.343838E0	-2.831318E-3	6.583263E0
4.130000E2	9.338630E0	-2.831318E-3	6.446679E0
4.140000E2	9.333423E0	-2.831318E-3	6.203416E0
4.150000E2	9.328215E0	-2.831318E-3	5.585285E0
4.160000E2	9.323008E0	-2.831318E-3	6.820055E0
4.170000E2	9.317800E0	-2.831318E-3	7.048666E0
