	profile_A
n,x,luma
3.610000E2,1.911903E1,8.314107E0
3.620000E2,1.910835E1,8.159504E0
3.630000E2,1.909768E1,6.928564E0
3.640000E2,1.908700E1,8.105223E0
3.650000E2,1.907632E1,9.736583E0
3.660000E2,1.906565E1,8.537735E0
3.670000E2,1.905497E1,8.242479E0
3.680000E2,1.904429E1,8.153634E0
3.690000E2,1.903362E1,7.535509E0
3.700000E2,1.902294E1,6.241981E0
3.710000E2,1.901226E1,7.612418E0
3.720000E2,1.900159E1,9.484728E0
3.730000E2,1.899091E1,9.672027E0
3.740000E2,1.898023E1,9.571321E0
3.750000E2,1.896956E1,9.478313E0
3.760000E2,1.895888E1,9.482844E0
3.770000E2,1.894820E1,9.139450E0
3.780000E2,1.893753E1,7.960769E0
3.790000E2,1.892685E1,7.224975E0
3.800000E2,1.891617E1,8.084113E0
3.810000E2,1.890550E1,8.290395E0
3.820000E2,1.889482E1,8.566395E0
3.830000E2,1.888414E1,9.535910E0
3.840000E2,1.887347E1,9.253983E0
3.850000E2,1.886279E1,8.233813E0
3.860000E2,1.885211E1,8.175402E0
3.870000E2,1.884144E1,8.477348E0
3.880000E2,1.883076E1,8.051495E0
3.890000E2,1.882008E1,7.644301E0
3.900000E2,1.880941E1,7.821298E0
3.910000E2,1.879873E1,8.460344E0
3.920000E2,1.878805E1,7.949709E0
3.930000E2,1.877738E1,7.301860E0
3.940000E2,1.876670E1,7.969564E0
3.950000E2,1.875602E1,7.831236E0
3.960000E2,1.874535E1,7.895350E0
3.970000E2,1.873467E1,8.537246E0
3.980000E2,1.872399E1,8.761334E0
3.990000E2,1.871332E1,8.620065E0
4.000000E2,1.870264E1,8.998268E0
4.010000E2,1.869197E1,9.861093E0
4.020000E2,1.868129E1,1.013118E1
4.030000E2,1.867061E1,1.030075E1
4.040000E2,1.865994E1,1.052049E1
4.050000E2,1.864926E1,1.024066E1
4.060000E2,1.863858E1,8.855946E0
4.070000E2,1.862791E1,9.006244E0
4.080000E2,1.861723E1,9.853615E0
4.090000E2,1.860655E1,9.733446E0
4.100000E2,1.859588E1,1.051941E1
4.110000E2,1.858520E1,1.164888E1
4.120000E2,1.857452E1,1.067771E1
4.130000E2,1.856385E1,1.002130E1
4.140000E2,1.855317E1,8.645170E0
4.150000E2,1.854249E1,7.027034E0
4.160000E2,1.853182E1,8.073832E0
4.170000E2,1.852114E1,9.780058E0
4.180000E2,1.851046E1,1.045866E1
4.190000E2,1.849979E1,1.115925E1
4.200000E2,1.848911E1,1.062628E1
4.210000E2,1.847843E1,9.782836E0
4.220000E2,1.846776E1,1.049788E1
4.230000E2,1.845708E1,1.174930E1
4.240000E2,1.844640E1,1.186731E1
4.250000E2,1.843573E1,1.087809E1
4.260000E2,1.842505E1,1.022520E1
4.270000E2,1.841437E1,9.643869E0
4.280000E2,1.840370E1,9.075906E0
4.290000E2,1.839302E1,8.101676E0
4.300000E2,1.838234E1,9.034578E0
4.310000E2,1.837167E1,9.201461E0
4.320000E2,1.836099E1,9.228429E0
4.330000E2,1.835031E1,1.084628E1
4.340000E2,1.833964E1,9.883678E0
4.350000E2,1.832896E1,7.805210E0
4.360000E2,1.831828E1,8.216514E0
4.370000E2,1.830761E1,8.385177E0
4.380000E2,1.829693E1,8.951533E0
4.390000E2,1.828625E1,9.888271E0
4.400000E2,1.827558E1,1.088726E1
4.410000E2,1.826490E1,1.194425E1
4.420000E2,1.825422E1,1.086558E1
4.430000E2,1.824355E1,9.609963E0
4.440000E2,1.823287E1,9.977257E0
4.450000E2,1.822219E1,9.579922E0
4.460000E2,1.821152E1,8.886762E0
4.470000E2,1.820084E1,9.776061E0
4.480000E2,1.819016E1,1.052109E1
4.490000E2,1.817949E1,1.049462E1
4.500000E2,1.816881E1,9.648477E0
4.510000E2,1.815813E1,8.807348E0
4.520000E2,1.814746E1,9.015824E0
4.530000E2,1.813678E1,9.359718E0
